feature,games,accuracy,log_loss,brier
def_fourth_down_rate_l8_diff,3018,0.5493704440026508,0.6878458315461207,0.24735108978063813
def_fg_attempt_rate_l3_diff,3018,0.5483764082173624,0.6878517322190966,0.24736316774147285
def_first_down_rate_l3_diff,3018,0.550364479787939,0.6878666322638533,0.24736305394135513
def_cpoe_l3_diff,3018,0.5497017892644135,0.68791675301344,0.24738553990393594
fourth_down_rate_std_diff,3018,0.5487077534791253,0.687924145370931,0.24739529442794703
def_explosive_pass_rate_l3_diff,3018,0.5487077534791253,0.6879397321976874,0.2473935659362761
def_third_down_rate_l5_diff,3018,0.5493704440026508,0.6879439149272475,0.2473905421881432
penalty_rate_l8_diff,3018,0.5536779324055666,0.687970648511327,0.24739878209138683
fourth_down_rate_l5_diff,3018,0.5497017892644135,0.6880029509671642,0.24743319036927963
def_rush_epa_l3_diff,3018,0.5513585155732273,0.688022228681357,0.24743538933095804
fourth_down_rate_l8_diff,3018,0.5497017892644135,0.6880307610320385,0.24744830765361905
plays_std_diff,3018,0.5520212060967529,0.6880517425450178,0.2474294868455019
def_qb_hit_rate_l3_diff,3018,0.5500331345261763,0.6880606730058377,0.2474607112796786
def_fg_attempt_rate_l8_diff,3018,0.5440689198144466,0.6880750873295643,0.2474538661373803
def_explosive_rush_rate_l3_diff,3018,0.5497017892644135,0.6880924932292527,0.24747737325411534
def_explosive_rush_rate_l8_diff,3018,0.550364479787939,0.6881160331837416,0.24748822660855954
def_explosive_rush_rate_std_diff,3018,0.5450629555997349,0.6881360710399974,0.24747349882166506
def_rush_epa_ewm_diff,3018,0.5506958250497018,0.6881393743009178,0.24748982440044676
fourth_down_rate_ewm_diff,3018,0.5497017892644135,0.688161241055403,0.24751178982675648
def_third_down_rate_l8_diff,3018,0.550364479787939,0.6881677654149587,0.2474947347138071
def_fg_attempt_rate_ewm_diff,3018,0.5487077534791253,0.6881804279778496,0.24752414400636902
explosive_rush_rate_l8_diff,3018,0.5497017892644135,0.6882075293497903,0.24753439560738477
def_sack_rate_l5_diff,3018,0.5500331345261763,0.6882458425931937,0.24754951427987343
def_plays_std_diff,3018,0.5480450629555997,0.6883439209944966,0.24759214108176084
def_sack_rate_l3_diff,3018,0.5497017892644135,0.6883863561391546,0.247619029935216
explosive_rush_rate_ewm_diff,3018,0.5497017892644135,0.6884015106885915,0.24763058424655293
def_yards_per_play_std_diff,3018,0.5473823724320742,0.6884288489194376,0.24759375775972303
def_early_down_epa_std_diff,3018,0.549039098740888,0.6884632524308517,0.24757895409483363
explosive_rush_rate_l5_diff,3018,0.5497017892644135,0.6884648975216769,0.24766190584086156
explosive_rush_rate_l3_diff,3018,0.5497017892644135,0.6884684908283608,0.24766382230828315
def_third_down_rate_ewm_diff,3018,0.5500331345261763,0.6884740389359547,0.24765467853609116
def_fourth_down_rate_l5_diff,3018,0.5497017892644135,0.6885087807111852,0.24767417505280145
def_plays_per_drive_std_diff,3018,0.5497017892644135,0.6885222027703106,0.24768859487741582
fourth_down_rate_l3_diff,3018,0.5497017892644135,0.6885651540559913,0.24771021737040502
explosive_rush_rate_std_diff,3018,0.5497017892644135,0.688575096351303,0.24771517274514385
def_red_zone_td_rate_l5_diff,3018,0.5497017892644135,0.688599177581177,0.24772573742354995
def_yac_per_completion_std_diff,3018,0.5506958250497018,0.6886276128724016,0.24769668891553695
def_third_down_rate_l3_diff,3018,0.5493704440026508,0.688641348712839,0.24773998954177923
def_fourth_down_rate_ewm_diff,3018,0.5493704440026508,0.6886479205241312,0.24774100830474058
